maturity,strike,implied_vol
0.1,0.5,0.5996229011864546
0.1,0.6,0.5045919504601454
0.1,0.7,0.41902397366991917
0.1,0.8,0.33825359799961413
0.1,0.9,0.25669292430433266
0.1,1.0,0.17517450712295451
0.1,1.1,0.15094960268616273
0.1,1.2,0.18304303545307354
0.1,1.3,0.21829001552348157
0.1,1.4,0.25002251747847565
0.1,1.5,0.27809512130081426
0.3,0.5,0.46475606887401305
0.3,0.6,0.3952284176371598
0.3,0.7,0.33315471196810265
0.3,0.8,0.2758413490847265
0.3,0.9,0.22145473285289463
0.3,1.0,0.17057692980237557
0.3,1.1,0.14273026243935538
0.3,1.2,0.15041775422042347
0.3,1.3,0.16703238424386618
0.3,1.4,0.18512297949530065
0.3,1.5,0.20270031117269088
0.6,0.5,0.3887914864894826
0.6,0.6,0.3355329455436264
0.6,0.7,0.2880866839692378
0.6,0.8,0.24449445127622663
0.6,0.9,0.20367027149153152
0.6,1.0,0.1663610697145882
0.6,1.1,0.14194935956952337
0.6,1.2,0.14095035052987398
0.6,1.3,0.14928666073042085
0.6,1.4,0.16032495326622903
0.6,1.5,0.17194566398007602
0.9,0.5,0.34936394893529
0.9,0.6,0.3045009807502315
0.9,0.7,0.26445916880592957
0.9,0.8,0.2278171720350228
0.9,0.9,0.19383961237631342
0.9,1.0,0.16303721968806462
0.9,1.1,0.14132081841655092
0.9,1.2,0.1371953450375078
0.9,1.3,0.14181931358723254
0.9,1.4,0.1495956259966437
0.9,1.5,0.15840846447984008
1.2,0.5,0.32716889062985793
1.2,0.6,0.2868847646033693
1.2,0.7,0.251028738518129
1.2,0.8,0.2183451365667737
1.2,0.9,0.18818291500771728
1.2,1.0,0.1609429196049565
1.2,1.1,0.14099269633549943
1.2,1.2,0.13541624199312513
1.2,1.3,0.13792493343628348
1.2,1.4,0.1437019215560834
1.2,1.5,0.15069701876386105
1.5,0.5,0.31084344150940746
1.5,0.6,0.27377836057483174
1.5,0.7,0.2409315457977891
1.5,0.8,0.2111242561184649
1.5,0.9,0.18375324272262847
1.5,1.0,0.15912841843595898
1.5,1.1,0.14063296713828435
1.5,1.2,0.13430741162407459
1.5,1.3,0.13543865594382465
1.5,1.4,0.13984982386535316
1.5,1.5,0.14560959909767002
1.8,0.5,0.2994275867137012
1.8,0.6,0.2645734406135295
1.8,0.7,0.2337396874175557
1.8,0.8,0.20586544165650322
1.8,0.9,0.18041937992514495
1.8,1.0,0.15765973162999702
1.8,1.1,0.14024365238649544
1.8,1.2,0.13346578297646625
1.8,1.3,0.13362798090490827
1.8,1.4,0.13702089555127384
1.8,1.5,0.1418226727476937
2.0,0.5,0.2906812859117314
2.0,0.6,0.25760573853099794
2.0,0.7,0.22839056536399777
2.0,0.8,0.20202801264030934
2.0,0.9,0.17800932528360938
2.0,1.0,0.15656271542491637
2.0,1.1,0.139891661492418
2.0,1.2,0.13293103329757247
2.0,1.3,0.13258233525315083
2.0,1.4,0.1354285884007653
2.0,1.5,0.13972364801679998
